timestamp target_q_0 target_qd_0 target_qdd_0
2.8948572 1.0535693874908196 1.04 0.0 
2.902857 1.06188938749082 1.04 0.0 
2.9108572 1.0702093874908198 1.04 0.0 
2.918857 1.0785293874908197 1.04 0.0 
2.9268572 1.08684938749082 1.04 0.0 
2.9348571 1.09516938749082 1.04 0.0 
2.942857 1.1034893874908198 1.04 0.0 
2.9508572 1.1118093874908197 1.04 0.0 
2.958857 1.12012938749082 1.04 0.0 
2.9668572 1.12844938749082 1.04 0.0 
2.974857 1.1367693874908198 1.04 0.0 
2.9828572 1.1450893874908201 1.04 0.0 
2.9908571 1.15340938749082 1.04 0.0 
2.9988573 1.1617293874908199 1.04 0.0 
3.0068572 1.1700493874908198 1.04 0.0 
3.014857 1.17836938749082 1.04 0.0 
3.0228572 1.18668938749082 1.04 0.0 
3.028762 1.1927858125091821 1.0287999999999995 -1.4 
3.0367622 1.200971412509182 1.0175999999999998 -1.4 
3.0447621 1.2090674125091816 1.0063999999999993 -1.4 
3.0527623 1.2170738125091825 0.9951999999999996 -1.4 
3.0607622 1.224990612509182 0.984 -1.4 
3.068762 1.2328178125091815 0.9727999999999994 -1.4 
3.0767622 1.240555412509182 0.9615999999999998 -1.4 
3.084762 1.2482034125091825 0.9503999999999992 -1.4 
3.0927622 1.2557618125091818 0.9391999999999996 -1.4 
3.1007621 1.2632306125091821 0.9279999999999999 -1.4 
3.1087623 1.2706098125091823 0.9167999999999994 -1.4 
3.1167622 1.2778994125091825 0.9055999999999997 -1.4 
3.124762 1.2850994125091826 0.8943999999999992 -1.4 
3.1327622 1.2922098125091825 0.8831999999999995 -1.4 
3.140762 1.2992306125091821 0.8719999999999999 -1.4 
3.1487622 1.306161812509182 0.8607999999999993 -1.4 
3.1567621 1.3130034125091818 0.8495999999999997 -1.4 
3.1647623 1.3197554125091815 0.8383999999999991 -1.4 
3.1727622 1.3264178125091823 0.8271999999999995 -1.4 
3.180762 1.3329906125091817 0.8159999999999998 -1.4 
3.1887622 1.3394738125091825 0.8047999999999993 -1.4 
3.196762 1.3458674125091816 0.7935999999999996 -1.4 
3.2047622 1.3521714125091822 0.7823999999999991 -1.4 
3.212762 1.3583858125091823 0.7711999999999994 -1.4 
3.2207623 1.3645106125091826 0.7599999999999998 -1.4 
3.2287621 1.370545812509183 0.7487999999999992 -1.4 
3.2367623 1.3764914125091816 0.7375999999999996 -1.4 
3.2447622 1.382347412509183 0.726399999999999 -1.4 
3.252762 1.388113812509183 0.7151999999999994 -1.4 
3.2607622 1.3937906125091823 0.7039999999999997 -1.4 
3.268762 1.399377812509182 0.6927999999999992 -1.4 
3.2767622 1.4048754125091816 0.6815999999999995 -1.4 
3.2847621 1.4102834125091825 0.670399999999999 -1.4 
3.2927623 1.4156018125091818 0.6591999999999993 -1.4 
3.3007622 1.4208306125091825 0.6479999999999997 -1.4 
3.308762 1.4259698125091818 0.6367999999999991 -1.4 
3.3167622 1.4310194125091817 0.6255999999999995 -1.4 
3.324762 1.435979412509182 0.614399999999999 -1.4 
3.3327622 1.4408498125091824 0.6031999999999993 -1.4 
3.3407621 1.4456306125091813 0.5919999999999996 -1.4 
3.3487623 1.4503218125091815 0.5807999999999991 -1.4 
3.3567622 1.4549234125091814 0.5695999999999994 -1.4 
3.364762 1.4594354125091824 0.5583999999999989 -1.4 
3.3727622 1.4638578125091823 0.5471999999999992 -1.4 
3.380762 1.468190612509182 0.5359999999999996 -1.4 
3.3887622 1.4724338125091816 0.524799999999999 -1.4 
3.3967621 1.4765874125091825 0.5135999999999994 -1.4 
3.4047623 1.4806514125091819 0.5023999999999988 -1.4 
3.4127622 1.4846258125091825 0.4911999999999992 -1.4 
3.420762 1.4885106125091818 0.47999999999999954 -1.4 
3.4287622 1.4923058125091822 0.468799999999999 -1.4 
3.436762 1.4960114125091826 0.45759999999999934 -1.4 
3.4447622 1.4996274125091829 0.4463999999999988 -1.4 
3.4527621 1.503153812509183 0.43519999999999914 -1.4 
3.4607623 1.506590612509183 0.4239999999999995 -1.4 
3.4687622 1.509937812509183 0.41279999999999895 -1.4 
3.476762 1.5131954125091829 0.4015999999999993 -1.4 
3.4847622 1.5163634125091825 0.39039999999999875 -1.4 
3.492762 1.5194418125091822 0.3791999999999991 -1.4 
3.5007622 1.522430612509181 0.36799999999999944 -1.4 
3.5087621 1.5253298125091819 0.3567999999999989 -1.4 
3.5167623 1.5281394125091814 0.34559999999999924 -1.4 
3.5247622 1.530859412509182 0.3343999999999987 -1.4 
3.532762 1.5334898125091825 0.32319999999999904 -1.4 
3.5407622 1.5360306125091814 0.3119999999999994 -1.4 
3.548762 1.5384818125091817 0.30079999999999885 -1.4 
3.5567622 1.540843412509182 0.2895999999999992 -1.4 
3.564762 1.5431154125091822 0.27839999999999865 -1.4 
3.5727623 1.5452978125091823 0.267199999999999 -1.4 
3.5807621 1.547390612509182 0.25599999999999934 -1.4 
3.5887623 1.549393812509182 0.2447999999999988 -1.4 
3.5967622 1.551307412509182 0.23359999999999914 -1.4 
3.604762 1.5531314125091815 0.2223999999999986 -1.4 
3.6127622 1.5548658125091825 0.21119999999999894 -1.4 
3.620762 1.5565106125091819 0.1999999999999993 -1.4 
3.6287622 1.5580658125091826 0.18879999999999875 -1.4 
3.6367621 1.5595314125091821 0.1775999999999991 -1.4 
3.6447623 1.5609074125091826 0.16639999999999855 -1.4 
3.6527622 1.5621938125091814 0.1551999999999989 -1.4 
3.660762 1.563390612509182 0.14399999999999924 -1.4 
3.6687622 1.564497812509182 0.1327999999999987 -1.4 
3.676762 1.5655154125091824 0.12159999999999904 -1.4 
3.6847622 1.5664434125091824 0.1103999999999985 -1.4 
3.6927621 1.567281812509182 0.09919999999999884 -1.4 
3.7007623 1.5680306125091823 0.08799999999999919 -1.4 
3.7087622 1.5686898125091808 0.07679999999999865 -1.4 
3.716762 1.569259412509182 0.06559999999999899 -1.4 
3.7247622 1.5697394125091817 0.05439999999999845 -1.4 
3.732762 1.570129812509181 0.043199999999998795 -1.4 
3.7407622 1.5704306125091816 0.03199999999999914 -1.4 
3.7487621 1.570641812509181 0.020799999999998597 -1.4 
3.7567623 1.5707634125091814 0.009599999999998943 -1.4 
3.7647622 1.5707954125091819 -0.0016000000000016001 -1.4 
